Name,1,2,3,4
1,12,21,12,7
2,38,52,37,9
3,15,26,39,64
4,12,18,36,52
5,44,36,51,65
6,50,35,26,58
7,1,56,55,4
8,8,31,5,65
9,2,24,50,55
10,50,44,7,9
11,12,48,40,62
12,1,57,11,25
13,17,32,45,50
14,20,1,31,36
15,3,68,35,64
16,38,55,60,57
17,13,38,12,30
18,4,33,6,70
19,58,19,55,37
20,14,37,46,8
21,1,13,5,58
22,8,59,5,69
23,58,64,50,44
24,9,47,6,29
25,12,71,65,57
26,3,3,38,61
27,11,13,13,47
28,13,29,34,22
29,24,66,35,47
30,17,65,48,39
31,8,27,44,50
32,13,69,18,2
33,18,25,18,46
34,28,22,14,11
35,6,30,26,65
36,4,49,2,58
37,2,66,7,21
38,2,25,33,31
39,3,39,67,33
40,11,26,30,26
41,23,25,41,45
42,10,8,11,27
43,65,52,11,49
44,5,67,58,16
45,13,49,7,27
46,20,1,27,70
47,24,19,5,24
48,11,21,15,8
49,36,69,58,61
50,6,3,16,62
51,5,8,62,29
52,2,61,27,69
53,9,33,12,43
54,19,62,12,22
55,7,28,15,23
56,7,43,54,68
57,12,61,69,50
58,6,48,14,6
59,22,66,18,22
60,16,6,23,50
61,26,68,3,8
62,11,56,59,2
63,59,15,46,8
64,3,58,71,71
65,5,68,40,32
66,29,2,45,54
67,39,15,58,50
68,15,58,30,28
69,22,71,39,25
70,18,53,19,17
71,25,46,20,71
72,53,8,59,63
